regime,candidate_model,feature_name,importance_type,importance_value,rank
MODERN,logistic_unweighted,state,MEAN_STANDARDIZED_COEFFICIENT,-0.735463,3
MODERN,logistic_unweighted,original_cost,MEAN_STANDARDIZED_COEFFICIENT,-0.073345,4
MODERN,logistic_unweighted,cumulative_expenditure_t,MEAN_STANDARDIZED_COEFFICIENT,0,5
MODERN,logistic_unweighted,revised_cost_t,MEAN_STANDARDIZED_COEFFICIENT,0.141005,6
MODERN,logistic_unweighted,physical_progress_t,MEAN_STANDARDIZED_COEFFICIENT,0,7
MODERN,logistic_unweighted,project_age_months,MEAN_STANDARDIZED_COEFFICIENT,-0.184211,8
MODERN,logistic_unweighted,months_to_original_schedule,MEAN_STANDARDIZED_COEFFICIENT,0,9
MODERN,logistic_unweighted,months_to_effective_schedule,MEAN_STANDARDIZED_COEFFICIENT,0.141859,10
MODERN,logistic_unweighted,schedule_revision_lag_months,MEAN_STANDARDIZED_COEFFICIENT,0,11
MODERN,logistic_unweighted,schedule_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,-0.156887,12
MODERN,logistic_unweighted,months_since_start,MEAN_STANDARDIZED_COEFFICIENT,-0.076378,13
MODERN,logistic_unweighted,expenditure_to_original_cost_ratio,MEAN_STANDARDIZED_COEFFICIENT,0.064264,14
MODERN,logistic_unweighted,revised_to_original_cost_ratio,MEAN_STANDARDIZED_COEFFICIENT,0,15
MODERN,logistic_unweighted,cost_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,0.070225,16
MODERN,logistic_unweighted,exp_delta_1m,MEAN_STANDARDIZED_COEFFICIENT,0,17
MODERN,logistic_unweighted,exp_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.080433,18
MODERN,logistic_unweighted,past_exp_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.100139,19
MODERN,logistic_unweighted,past_progress_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,0.160925,20
MODERN,logistic_unweighted,past_progress_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,0,21
MODERN,logistic_unweighted,n_prior_schedule_extensions,MEAN_STANDARDIZED_COEFFICIENT,0.11351,22
MODERN,logistic_unweighted,n_prior_cost_revisions,MEAN_STANDARDIZED_COEFFICIENT,-0.03866,23
MODERN,logistic_unweighted,observed_tenure_months,MEAN_STANDARDIZED_COEFFICIENT,0.348439,24
MODERN,logistic_unweighted,state_is_missing,MEAN_STANDARDIZED_COEFFICIENT,0,25
MODERN,logistic_unweighted,approval_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,-0.082444,26
MODERN,logistic_unweighted,original_completion_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,0,27
MODERN,logistic_unweighted,revised_cost_is_present,MEAN_STANDARDIZED_COEFFICIENT,0,28
MODERN,logistic_unweighted,revised_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,0,29
MODERN,logistic_unweighted,physical_progress_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.081264,30
MODERN,logistic_unweighted,physical_progress_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.086038,31
MODERN,logistic_unweighted,start_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.062116,32
MODERN,logistic_unweighted,start_date_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.05341,33
MODERN,logistic_unweighted,exp_delta_1m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,0.08546,34
MODERN,logistic_unweighted,exp_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.05341,35
MODERN,logistic_unweighted,progress_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.303022,36
MODERN,logistic_balanced,sector,MEAN_STANDARDIZED_COEFFICIENT,2.500485,1
MODERN,logistic_balanced,agency,MEAN_STANDARDIZED_COEFFICIENT,-4.187833,2
MODERN,logistic_balanced,state,MEAN_STANDARDIZED_COEFFICIENT,-2.504147,3
MODERN,logistic_balanced,original_cost,MEAN_STANDARDIZED_COEFFICIENT,0.091673,4
MODERN,logistic_balanced,cumulative_expenditure_t,MEAN_STANDARDIZED_COEFFICIENT,0,5
MODERN,logistic_balanced,revised_cost_t,MEAN_STANDARDIZED_COEFFICIENT,0.070008,6
MODERN,logistic_balanced,physical_progress_t,MEAN_STANDARDIZED_COEFFICIENT,0,7
MODERN,logistic_balanced,project_age_months,MEAN_STANDARDIZED_COEFFICIENT,-0.173475,8
MODERN,logistic_balanced,months_to_original_schedule,MEAN_STANDARDIZED_COEFFICIENT,0,9
MODERN,logistic_balanced,months_to_effective_schedule,MEAN_STANDARDIZED_COEFFICIENT,0.227511,10
MODERN,logistic_balanced,schedule_revision_lag_months,MEAN_STANDARDIZED_COEFFICIENT,0,11
MODERN,logistic_balanced,schedule_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,-0.294647,12
MODERN,logistic_balanced,months_since_start,MEAN_STANDARDIZED_COEFFICIENT,-0.053307,13
MODERN,logistic_balanced,expenditure_to_original_cost_ratio,MEAN_STANDARDIZED_COEFFICIENT,0.038223,14
MODERN,logistic_balanced,revised_to_original_cost_ratio,MEAN_STANDARDIZED_COEFFICIENT,0,15
MODERN,logistic_balanced,cost_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,-0.004293,16
MODERN,logistic_balanced,exp_delta_1m,MEAN_STANDARDIZED_COEFFICIENT,0,17
MODERN,logistic_balanced,exp_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.080386,18
MODERN,logistic_balanced,past_exp_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.074968,19
MODERN,logistic_balanced,past_progress_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,0.113671,20
MODERN,logistic_balanced,past_progress_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,0,21
MODERN,logistic_balanced,n_prior_schedule_extensions,MEAN_STANDARDIZED_COEFFICIENT,0.068739,22
MODERN,logistic_balanced,n_prior_cost_revisions,MEAN_STANDARDIZED_COEFFICIENT,-0.177516,23
MODERN,logistic_balanced,observed_tenure_months,MEAN_STANDARDIZED_COEFFICIENT,0.536161,24
MODERN,logistic_balanced,state_is_missing,MEAN_STANDARDIZED_COEFFICIENT,0,25
MODERN,logistic_balanced,approval_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,-0.061986,26
MODERN,logistic_balanced,original_completion_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,0,27
MODERN,logistic_balanced,revised_cost_is_present,MEAN_STANDARDIZED_COEFFICIENT,0,28
MODERN,logistic_balanced,revised_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,0,29
MODERN,logistic_balanced,physical_progress_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.186731,30
MODERN,logistic_balanced,physical_progress_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.088648,31
MODERN,logistic_balanced,start_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.120594,32
MODERN,logistic_balanced,start_date_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.062461,33
MODERN,logistic_balanced,exp_delta_1m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,0.2011,34
MODERN,logistic_balanced,exp_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.062461,35
MODERN,logistic_balanced,progress_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.609217,36
MODERN,catboost_unweighted,agency,PREDICTION_VALUES_CHANGE,11.177195,1
MODERN,catboost_unweighted,physical_progress_t,PREDICTION_VALUES_CHANGE,9.782208,2
MODERN,catboost_unweighted,state,PREDICTION_VALUES_CHANGE,8.870922,3
MODERN,catboost_unweighted,expenditure_to_original_cost_ratio,PREDICTION_VALUES_CHANGE,8.573637,4
MODERN,catboost_unweighted,sector,PREDICTION_VALUES_CHANGE,6.863772,5
MODERN,catboost_unweighted,months_to_original_schedule,PREDICTION_VALUES_CHANGE,6.68496,6
MODERN,catboost_unweighted,months_to_effective_schedule,PREDICTION_VALUES_CHANGE,6.605665,7
MODERN,catboost_unweighted,cumulative_expenditure_t,PREDICTION_VALUES_CHANGE,5.791837,8
MODERN,catboost_unweighted,revised_to_original_cost_ratio,PREDICTION_VALUES_CHANGE,5.271473,9
MODERN,catboost_unweighted,revised_cost_t,PREDICTION_VALUES_CHANGE,4.253522,10
MODERN,catboost_unweighted,project_age_months,PREDICTION_VALUES_CHANGE,4.118679,11
MODERN,catboost_unweighted,original_cost,PREDICTION_VALUES_CHANGE,3.624369,12
MODERN,catboost_unweighted,schedule_revision_lag_months,PREDICTION_VALUES_CHANGE,3.613761,13
MODERN,catboost_unweighted,months_since_start,PREDICTION_VALUES_CHANGE,3.251279,14
MODERN,catboost_unweighted,exp_delta_1m,PREDICTION_VALUES_CHANGE,2.599354,15
MODERN,catboost_unweighted,n_prior_schedule_extensions,PREDICTION_VALUES_CHANGE,1.644167,16
MODERN,catboost_unweighted,n_prior_cost_revisions,PREDICTION_VALUES_CHANGE,1.630396,17
MODERN,catboost_unweighted,observed_tenure_months,PREDICTION_VALUES_CHANGE,1.428996,18
MODERN,catboost_unweighted,exp_delta_3m,PREDICTION_VALUES_CHANGE,0.832184,19
MODERN,catboost_unweighted,schedule_has_been_revised,PREDICTION_VALUES_CHANGE,0.673348,20
MODERN,catboost_unweighted,revised_date_is_present,PREDICTION_VALUES_CHANGE,0.538727,21
MODERN,catboost_unweighted,past_progress_delta_3m,PREDICTION_VALUES_CHANGE,0.511875,22
MODERN,catboost_unweighted,past_progress_stagnant_3m,PREDICTION_VALUES_CHANGE,0.423893,23
MODERN,catboost_unweighted,exp_delta_1m_is_supported,PREDICTION_VALUES_CHANGE,0.364819,24
