fold_id,regime,evaluation_origin,candidate_model,training_rows,training_positives,evaluation_rows,evaluation_positives,average_precision,roc_auc,brier_score,precision,recall,f1,specificity,predicted_positives,predicted_positive_rate,observed_prevalence
MODERN_2025_12,MODERN,2025-12,catboost_unweighted,1443,587,1316,169,0.293458093097748,0.711591339382903,0.27062894996397,0.188650306748466,0.727810650887574,0.299634591961023,0.538796861377506,652,0.495440729483283,0.128419452887538
MODERN_2025_12,MODERN,2025-12,catboost_balanced,1443,587,1316,169,0.273958026867261,0.713948917422863,0.298004299596858,0.180821917808219,0.781065088757396,0.293659621802002,0.478639930252833,730,0.554711246200608,0.128419452887538
MODERN_2026_01,MODERN,2026-01,prevalence,2174,875,1578,204,0.129277566539924,0.5,0.187206578324013,,0,0,1,0,0,0.129277566539924
MODERN_2026_01,MODERN,2026-01,logistic_unweighted,2174,875,1578,204,0.178038672782066,0.60108956246254,0.183419465675142,0.18018018018018,0.294117647058824,0.223463687150838,0.801310043668122,333,0.211026615969582,0.129277566539924
MODERN_2026_01,MODERN,2026-01,logistic_balanced,2174,875,1578,204,0.17035287384101,0.585256300482347,0.216661085404533,0.168582375478927,0.431372549019608,0.242424242424242,0.684133915574964,522,0.330798479087452,0.129277566539924
MODERN_2026_01,MODERN,2026-01,catboost_unweighted,2174,875,1578,204,0.258234634031077,0.711818934269487,0.232651195118386,0.215106732348112,0.642156862745098,0.322263222632226,0.652110625909753,609,0.385931558935361,0.129277566539924
MODERN_2026_01,MODERN,2026-01,catboost_balanced,2174,875,1578,204,0.270175614201158,0.71571481576619,0.254070850429021,0.205965909090909,0.71078431372549,0.319383259911894,0.59315866084425,704,0.446134347275032,0.129277566539924
MODERN_2026_02,MODERN,2026-02,prevalence,2932,1152,1796,215,0.119710467706013,0.5,0.180015597442114,,0,0,1,0,0,0.119710467706013
MODERN_2026_02,MODERN,2026-02,logistic_unweighted,2932,1152,1796,215,0.231925721223029,0.679172734360061,0.148691294802561,0.310204081632653,0.353488372093023,0.330434782608696,0.893105629348514,245,0.13641425389755,0.119710467706013
MODERN_2026_02,MODERN,2026-02,logistic_balanced,2932,1152,1796,215,0.231167657465173,0.67954635717753,0.187919020476816,0.222222222222222,0.483720930232558,0.304538799414348,0.769765970904491,468,0.260579064587973,0.119710467706013
MODERN_2026_02,MODERN,2026-02,catboost_unweighted,2932,1152,1796,215,0.261481852766547,0.730061927246517,0.183745493754255,0.245098039215686,0.581395348837209,0.344827586206897,0.756483238456673,510,0.283964365256125,0.119710467706013
MODERN_2026_02,MODERN,2026-02,catboost_balanced,2932,1152,1796,215,0.265463468035281,0.733315681861642,0.211718140490951,0.222222222222222,0.623255813953488,0.327628361858191,0.703352308665402,603,0.335746102449889,0.119710467706013
MODERN_2026_03,MODERN,2026-03,prevalence,3701,1439,1692,480,0.283687943262411,0.5,0.214260547034118,,0,0,1,0,0,0.283687943262411
MODERN_2026_03,MODERN,2026-03,logistic_unweighted,3701,1439,1692,480,0.48732451937219,0.700352378987899,0.186783762537873,0.603658536585366,0.20625,0.307453416149068,0.946369636963696,164,0.0969267139479905,0.283687943262411
MODERN_2026_03,MODERN,2026-03,logistic_balanced,3701,1439,1692,480,0.497442896526343,0.702631669416942,0.182321120792859,0.580246913580247,0.29375,0.390041493775934,0.915841584158416,243,0.143617021276596,0.283687943262411
MODERN_2026_03,MODERN,2026-03,catboost_unweighted,3701,1439,1692,480,0.560335197418395,0.773803630363036,0.167949288544048,0.607052896725441,0.502083333333333,0.549600912200684,0.871287128712871,397,0.234633569739953,0.283687943262411
MODERN_2026_03,MODERN,2026-03,catboost_balanced,3701,1439,1692,480,0.556132345638406,0.764261894939494,0.182115125454074,0.545271629778672,0.564583333333333,0.554759467758444,0.813531353135314,497,0.293735224586288,0.283687943262411
MODERN_2026_04,MODERN,2026-04,prevalence,5017,1608,1640,502,0.30609756097561,0.5,0.212609570180531,,0,0,1,0,0,0.30609756097561
MODERN_2026_04,MODERN,2026-04,logistic_unweighted,5017,1608,1640,502,0.381993029195575,0.559410862700341,0.246941568907715,0.65,0.0258964143426295,0.049808429118774,0.993848857644991,20,0.0121951219512195,0.30609756097561
MODERN_2026_04,MODERN,2026-04,logistic_balanced,5017,1608,1640,502,0.392854106819939,0.57020774546804,0.229271434057392,0.551282051282051,0.0856573705179283,0.148275862068966,0.969244288224956,78,0.0475609756097561,0.30609756097561
MODERN_2026_04,MODERN,2026-04,catboost_unweighted,5017,1608,1640,502,0.577912345739837,0.779309825723468,0.218764671208043,0.745454545454545,0.0816733067729084,0.14721723518851,0.987697715289982,55,0.0335365853658537,0.30609756097561
MODERN_2026_04,MODERN,2026-04,catboost_balanced,5017,1608,1640,502,0.557997150600095,0.768101583122694,0.201242207999425,0.676470588235294,0.137450199203187,0.228476821192053,0.971001757469244,102,0.0621951219512195,0.30609756097561
