regime,candidate_model,feature_name,importance_type,importance_value,rank
LEGACY,catboost_unweighted,approval_date_is_missing,PREDICTION_VALUES_CHANGE,0,35
LEGACY,catboost_unweighted,months_since_start,PREDICTION_VALUES_CHANGE,0,36
LEGACY,catboost_balanced,agency,PREDICTION_VALUES_CHANGE,20.677923,1
LEGACY,catboost_balanced,state,PREDICTION_VALUES_CHANGE,13.418505,2
LEGACY,catboost_balanced,physical_progress_t,PREDICTION_VALUES_CHANGE,8.983002,3
LEGACY,catboost_balanced,sector,PREDICTION_VALUES_CHANGE,6.203042,4
LEGACY,catboost_balanced,project_age_months,PREDICTION_VALUES_CHANGE,6.090451,5
LEGACY,catboost_balanced,expenditure_to_original_cost_ratio,PREDICTION_VALUES_CHANGE,5.67373,6
LEGACY,catboost_balanced,months_to_original_schedule,PREDICTION_VALUES_CHANGE,5.584,7
LEGACY,catboost_balanced,exp_delta_1m,PREDICTION_VALUES_CHANGE,4.818294,8
LEGACY,catboost_balanced,original_cost,PREDICTION_VALUES_CHANGE,4.643779,9
LEGACY,catboost_balanced,months_to_effective_schedule,PREDICTION_VALUES_CHANGE,4.144267,10
LEGACY,catboost_balanced,cumulative_expenditure_t,PREDICTION_VALUES_CHANGE,3.993386,11
LEGACY,catboost_balanced,observed_tenure_months,PREDICTION_VALUES_CHANGE,2.855393,12
LEGACY,catboost_balanced,schedule_revision_lag_months,PREDICTION_VALUES_CHANGE,2.056925,13
LEGACY,catboost_balanced,revised_to_original_cost_ratio,PREDICTION_VALUES_CHANGE,2.03692,14
LEGACY,catboost_balanced,past_progress_delta_3m,PREDICTION_VALUES_CHANGE,1.860228,15
LEGACY,catboost_balanced,past_progress_stagnant_3m,PREDICTION_VALUES_CHANGE,1.541901,16
LEGACY,catboost_balanced,revised_cost_t,PREDICTION_VALUES_CHANGE,1.237586,17
LEGACY,catboost_balanced,n_prior_schedule_extensions,PREDICTION_VALUES_CHANGE,1.080083,18
LEGACY,catboost_balanced,exp_delta_3m,PREDICTION_VALUES_CHANGE,1.021098,19
LEGACY,catboost_balanced,n_prior_cost_revisions,PREDICTION_VALUES_CHANGE,0.547078,20
LEGACY,catboost_balanced,exp_delta_1m_is_supported,PREDICTION_VALUES_CHANGE,0.48673,21
LEGACY,catboost_balanced,revised_date_is_present,PREDICTION_VALUES_CHANGE,0.278406,22
LEGACY,catboost_balanced,schedule_has_been_revised,PREDICTION_VALUES_CHANGE,0.241009,23
LEGACY,catboost_balanced,revised_cost_is_present,PREDICTION_VALUES_CHANGE,0.172156,24
LEGACY,catboost_balanced,past_exp_stagnant_3m,PREDICTION_VALUES_CHANGE,0.149307,25
LEGACY,catboost_balanced,cost_has_been_revised,PREDICTION_VALUES_CHANGE,0.111097,26
LEGACY,catboost_balanced,progress_delta_3m_is_supported,PREDICTION_VALUES_CHANGE,0.057735,27
LEGACY,catboost_balanced,exp_delta_3m_is_supported,PREDICTION_VALUES_CHANGE,0.019166,28
LEGACY,catboost_balanced,original_completion_date_is_missing,PREDICTION_VALUES_CHANGE,0.016804,29
LEGACY,catboost_balanced,start_date_supported,PREDICTION_VALUES_CHANGE,0,30
LEGACY,catboost_balanced,physical_progress_is_present,PREDICTION_VALUES_CHANGE,0,31
LEGACY,catboost_balanced,start_date_is_present,PREDICTION_VALUES_CHANGE,0,32
LEGACY,catboost_balanced,state_is_missing,PREDICTION_VALUES_CHANGE,0,33
LEGACY,catboost_balanced,physical_progress_supported,PREDICTION_VALUES_CHANGE,0,34
LEGACY,catboost_balanced,approval_date_is_missing,PREDICTION_VALUES_CHANGE,0,35
LEGACY,catboost_balanced,months_since_start,PREDICTION_VALUES_CHANGE,0,36
MODERN,logistic_unweighted,sector,MEAN_STANDARDIZED_COEFFICIENT,1.932497,1
MODERN,logistic_unweighted,agency,MEAN_STANDARDIZED_COEFFICIENT,-1.274558,2
MODERN,logistic_unweighted,state,MEAN_STANDARDIZED_COEFFICIENT,1.79072,3
MODERN,logistic_unweighted,original_cost,MEAN_STANDARDIZED_COEFFICIENT,-0.386195,4
MODERN,logistic_unweighted,cumulative_expenditure_t,MEAN_STANDARDIZED_COEFFICIENT,0,5
MODERN,logistic_unweighted,revised_cost_t,MEAN_STANDARDIZED_COEFFICIENT,-0.067757,6
MODERN,logistic_unweighted,physical_progress_t,MEAN_STANDARDIZED_COEFFICIENT,0,7
MODERN,logistic_unweighted,project_age_months,MEAN_STANDARDIZED_COEFFICIENT,0.309078,8
MODERN,logistic_unweighted,months_to_original_schedule,MEAN_STANDARDIZED_COEFFICIENT,0,9
MODERN,logistic_unweighted,months_to_effective_schedule,MEAN_STANDARDIZED_COEFFICIENT,0.03563,10
MODERN,logistic_unweighted,schedule_revision_lag_months,MEAN_STANDARDIZED_COEFFICIENT,0,11
MODERN,logistic_unweighted,schedule_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,0.339155,12
MODERN,logistic_unweighted,months_since_start,MEAN_STANDARDIZED_COEFFICIENT,-0.011532,13
MODERN,logistic_unweighted,expenditure_to_original_cost_ratio,MEAN_STANDARDIZED_COEFFICIENT,0.046554,14
MODERN,logistic_unweighted,revised_to_original_cost_ratio,MEAN_STANDARDIZED_COEFFICIENT,0,15
MODERN,logistic_unweighted,cost_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,0.191475,16
MODERN,logistic_unweighted,exp_delta_1m,MEAN_STANDARDIZED_COEFFICIENT,0,17
MODERN,logistic_unweighted,exp_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,0.119182,18
MODERN,logistic_unweighted,past_exp_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,0.034609,19
MODERN,logistic_unweighted,past_progress_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.196686,20
MODERN,logistic_unweighted,past_progress_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,0,21
MODERN,logistic_unweighted,n_prior_schedule_extensions,MEAN_STANDARDIZED_COEFFICIENT,0.350488,22
MODERN,logistic_unweighted,n_prior_cost_revisions,MEAN_STANDARDIZED_COEFFICIENT,-0.168355,23
MODERN,logistic_unweighted,observed_tenure_months,MEAN_STANDARDIZED_COEFFICIENT,0.166219,24
MODERN,logistic_unweighted,state_is_missing,MEAN_STANDARDIZED_COEFFICIENT,0,25
MODERN,logistic_unweighted,approval_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,-0.051647,26
MODERN,logistic_unweighted,original_completion_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,0,27
MODERN,logistic_unweighted,revised_cost_is_present,MEAN_STANDARDIZED_COEFFICIENT,0,28
MODERN,logistic_unweighted,revised_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,0,29
MODERN,logistic_unweighted,physical_progress_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.0538,30
MODERN,logistic_unweighted,physical_progress_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.015253,31
MODERN,logistic_unweighted,start_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.038828,32
MODERN,logistic_unweighted,start_date_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.115739,33
MODERN,logistic_unweighted,exp_delta_1m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,0.110305,34
MODERN,logistic_unweighted,exp_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.115739,35
MODERN,logistic_unweighted,progress_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,0.173608,36
MODERN,logistic_balanced,sector,MEAN_STANDARDIZED_COEFFICIENT,2.038829,1
MODERN,logistic_balanced,agency,MEAN_STANDARDIZED_COEFFICIENT,-1.438577,2
MODERN,logistic_balanced,state,MEAN_STANDARDIZED_COEFFICIENT,1.767079,3
MODERN,logistic_balanced,original_cost,MEAN_STANDARDIZED_COEFFICIENT,-0.370932,4
MODERN,logistic_balanced,cumulative_expenditure_t,MEAN_STANDARDIZED_COEFFICIENT,0,5
MODERN,logistic_balanced,revised_cost_t,MEAN_STANDARDIZED_COEFFICIENT,-0.092554,6
MODERN,logistic_balanced,physical_progress_t,MEAN_STANDARDIZED_COEFFICIENT,0,7
MODERN,logistic_balanced,project_age_months,MEAN_STANDARDIZED_COEFFICIENT,0.324007,8
MODERN,logistic_balanced,months_to_original_schedule,MEAN_STANDARDIZED_COEFFICIENT,0,9
MODERN,logistic_balanced,months_to_effective_schedule,MEAN_STANDARDIZED_COEFFICIENT,0.032558,10
MODERN,logistic_balanced,schedule_revision_lag_months,MEAN_STANDARDIZED_COEFFICIENT,0,11
MODERN,logistic_balanced,schedule_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,0.375882,12
MODERN,logistic_balanced,months_since_start,MEAN_STANDARDIZED_COEFFICIENT,-0.003378,13
