regime,candidate_model,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,specificity,predicted_positives,predicted_positive_rate,false_discovery_rate,total_rows
LEGACY,logistic_unweighted,0.62,832,453,5524,1420,0.647470817120623,0.369449378330373,0.47045518801244,0.924209469633595,1285,0.156155061368332,0.352529182879377,8229
LEGACY,logistic_unweighted,0.63,808,429,5548,1444,0.653193209377526,0.358792184724689,0.46316996274004,0.928224861970888,1237,0.15032203183862,0.346806790622474,8229
LEGACY,logistic_unweighted,0.64,781,412,5565,1471,0.654652137468567,0.346802841918295,0.453410740203193,0.931069098209804,1193,0.14497508810305,0.345347862531433,8229
LEGACY,logistic_unweighted,0.65,748,393,5584,1504,0.655565293602103,0.33214920071048,0.440907751252579,0.934247950476828,1141,0.138655972779196,0.344434706397897,8229
LEGACY,logistic_unweighted,0.66,722,372,5605,1530,0.659963436928702,0.320603907637655,0.431560071727436,0.937761418771959,1094,0.132944464698019,0.340036563071298,8229
LEGACY,logistic_unweighted,0.67,689,346,5631,1563,0.665700483091787,0.30595026642984,0.419227258898692,0.94211142713736,1035,0.125774699234415,0.334299516908213,8229
LEGACY,logistic_unweighted,0.68,653,324,5653,1599,0.668372569089048,0.289964476021314,0.404459585010839,0.945792203446545,977,0.118726455219346,0.331627430910952,8229
LEGACY,logistic_unweighted,0.69,617,303,5674,1635,0.670652173913043,0.273978685612789,0.389029003783102,0.949305671741676,920,0.111799732652813,0.329347826086957,8229
LEGACY,logistic_unweighted,0.7,583,285,5692,1669,0.671658986175115,0.258880994671403,0.373717948717949,0.952317215994646,868,0.105480617328959,0.328341013824885,8229
LEGACY,logistic_unweighted,0.71,551,270,5707,1701,0.671132764920828,0.244671403197158,0.358607224210869,0.954826836205454,821,0.0997691092477822,0.328867235079172,8229
LEGACY,logistic_unweighted,0.72,524,254,5723,1728,0.673521850899743,0.232682060390764,0.345874587458746,0.957503764430316,778,0.0945436869607486,0.326478149100257,8229
LEGACY,logistic_unweighted,0.73,495,234,5743,1757,0.679012345679012,0.219804618117229,0.33210332103321,0.960849924711394,729,0.0885891359825009,0.320987654320988,8229
LEGACY,logistic_unweighted,0.74,474,221,5756,1778,0.682014388489209,0.210479573712256,0.321683067526298,0.963024928894094,695,0.0844574067322882,0.317985611510791,8229
LEGACY,logistic_unweighted,0.75,454,214,5763,1798,0.679640718562874,0.201598579040853,0.310958904109589,0.964196084992471,668,0.0811763276218253,0.320359281437126,8229
LEGACY,logistic_unweighted,0.76,434,201,5776,1818,0.683464566929134,0.192717584369449,0.300658122618635,0.966371089175171,635,0.0771661198201483,0.316535433070866,8229
LEGACY,logistic_unweighted,0.77,415,190,5787,1837,0.685950413223141,0.184280639431616,0.290514525726286,0.968211477329764,605,0.0735204763640783,0.31404958677686,8229
LEGACY,logistic_unweighted,0.78,389,179,5798,1863,0.684859154929577,0.172735346358792,0.275886524822695,0.970051865484357,568,0.0690241827682586,0.315140845070423,8229
LEGACY,logistic_unweighted,0.79,361,170,5807,1891,0.67984934086629,0.160301953818828,0.259432267337406,0.971557637610842,531,0.0645278891724389,0.32015065913371,8229
LEGACY,logistic_unweighted,0.8,332,158,5819,1920,0.677551020408163,0.147424511545293,0.242159008023341,0.973565333779488,490,0.0595455097824766,0.322448979591837,8229
LEGACY,logistic_unweighted,0.81,310,148,5829,1942,0.676855895196507,0.13765541740675,0.228782287822878,0.975238413920027,458,0.0556568234293353,0.323144104803493,8229
LEGACY,logistic_unweighted,0.82,281,135,5842,1971,0.675480769230769,0.124777975133215,0.210644677661169,0.977413418102727,416,0.0505529225908373,0.324519230769231,8229
LEGACY,logistic_unweighted,0.83,256,130,5847,1996,0.663212435233161,0.113676731793961,0.194086429112964,0.978249958172997,386,0.0469072791347673,0.336787564766839,8229
LEGACY,logistic_unweighted,0.84,229,122,5855,2023,0.652421652421652,0.101687388987567,0.175950825970035,0.979588422285427,351,0.042654028436019,0.347578347578348,8229
LEGACY,logistic_unweighted,0.85,190,97,5880,2062,0.662020905923345,0.0843694493783304,0.149665222528555,0.983771122636774,287,0.0348766557297363,0.337979094076655,8229
LEGACY,logistic_unweighted,0.86,160,86,5891,2092,0.650406504065041,0.0710479573712256,0.128102481985588,0.985611510791367,246,0.029894276339774,0.349593495934959,8229
LEGACY,logistic_unweighted,0.87,139,76,5901,2113,0.646511627906977,0.0617229129662522,0.112687474665586,0.987284590931906,215,0.0261271114351683,0.353488372093023,8229
LEGACY,logistic_unweighted,0.88,126,68,5909,2126,0.649484536082474,0.0559502664298401,0.103025347506132,0.988623055044337,194,0.0235751610159193,0.350515463917526,8229
LEGACY,logistic_unweighted,0.89,113,62,5915,2139,0.645714285714286,0.0501776198934281,0.0931190770498558,0.98962690312866,175,0.0212662534937416,0.354285714285714,8229
